htfather htson
176.4 179.3
173.0 169.6
171.0 173.3
174.7 179.3
172.0 175.2
166.2 163.6
171.1 180.0
163.2 163.6
171.0 178.9
168.4 167.4
185.4 186.0
172.5 167.1
175.6 176.0
163.5 163.6
158.2 160.4
171.6 172.9
178.9 176.9
179.0 180.0
175.0 174.3
164.4 164.9
161.8 168.7
182.0 173.5
170.6 162.4
171.4 162.9
183.9 178.3
166.1 176.3
163.4 156.4
182.6 179.8
169.9 171.6
169.9 171.8
183.2 177.6
171.1 180.2
179.2 167.9
165.3 177.4
173.6 179.9
176.2 183.0
160.2 164.9
171.9 169.9
171.0 173.0
171.6 186.8
168.8 179.9
179.9 186.2
169.4 174.0
172.8 181.8
180.1 173.1
167.8 182.5
171.9 169.5
185.0 177.5
180.6 182.9
173.5 181.3
154.3 161.9
187.8 187.7
177.3 166.9
172.1 165.3
163.1 167.5
166.4 179.8
173.2 176.7
169.5 183.4
171.0 178.0
173.1 173.6
169.0 171.4
167.7 171.9
182.0 192.0
183.4 178.7
166.2 178.2
184.3 189.3
168.9 175.2
159.1 158.2
173.9 166.2
175.1 170.8
174.5 184.4
162.6 174.2
175.4 184.1
167.5 168.7
166.9 172.7
169.5 160.4
179.1 183.2
181.2 178.8
165.4 173.9
167.9 167.9
169.3 182.9
166.1 178.4
174.6 168.0
173.9 178.8
183.0 182.6
179.3 184.1
184.8 182.6
187.9 184.1
170.9 170.7
161.8 168.1
170.6 182.4
172.2 171.2
181.3 185.2
178.8 174.1
173.9 176.6
175.0 177.6
168.6 175.9
171.4 178.0
177.6 181.0
174.6 170.1
172.3 177.2
166.0 164.4
173.3 169.3
178.1 173.2
177.0 176.1
174.8 191.0
168.6 173.1
171.8 166.8
166.4 170.0
165.8 171.0
180.0 172.2
181.2 169.3
179.5 169.8
170.0 177.7
174.9 178.8
182.2 171.1
166.2 174.1
172.8 172.6
177.5 186.1
183.6 188.8
165.2 153.5
170.4 151.5
167.9 167.7
168.5 181.4
170.0 178.5
173.6 178.2
167.6 170.0
159.5 178.4
176.2 181.4
175.9 183.0
161.3 168.1
172.1 176.4
171.9 168.1
177.8 176.1
174.5 177.1
179.6 174.4
174.8 183.4
181.4 184.9
169.0 183.9
165.4 166.5
159.9 172.1
166.7 168.1
176.0 182.8
171.2 171.9
170.8 177.8
163.4 159.6
174.2 179.4
170.7 163.9
183.6 176.2
164.6 172.8
176.6 180.8
173.5 169.3
162.8 179.7
163.8 169.1
163.5 163.1
167.1 180.0
180.0 178.8
167.8 174.4
189.3 192.5
172.9 169.2
165.1 157.0
167.6 169.6
169.1 177.4
178.1 172.2
170.2 176.7
191.3 198.0
173.6 174.6
158.4 159.9
165.0 165.3
180.1 169.7
171.9 171.6
181.4 193.7
165.7 177.3
162.5 167.6
172.9 170.4
172.3 168.2
174.3 179.1
186.0 185.9
168.4 166.9
161.3 163.6
184.4 175.0
178.8 171.7
175.1 186.9
173.5 173.7
182.0 175.6
168.0 181.4
170.4 170.5
179.0 183.6
166.5 166.8
174.5 168.3
158.5 179.8
182.6 181.6
174.0 168.3
160.6 164.3
164.4 167.8
185.6 185.0
163.0 171.0
181.0 171.0
171.6 172.1
164.3 168.6
181.9 169.6
173.9 173.7
173.4 170.7
174.8 170.8
177.3 178.2
172.6 167.4
181.9 176.1
168.4 164.2
173.2 172.6
172.6 184.4
170.4 174.7
178.5 193.0
177.1 179.4
169.6 171.2
163.1 172.4
165.1 167.6
176.9 180.1
160.9 164.1
168.9 176.8
172.7 156.8
170.7 169.4
171.7 168.3
171.2 174.3
169.4 169.0
167.6 169.8
173.5 175.6
183.2 188.6
167.8 176.4
165.6 172.9
185.3 188.8
173.9 167.0
170.8 173.2
183.2 177.3
175.5 173.5
185.1 188.9
177.0 167.0
161.4 163.3
178.0 175.1
168.9 177.5
175.8 181.5
172.6 179.6
167.0 168.4
164.4 172.5
173.4 178.2
176.1 183.6
170.2 185.2
169.2 177.6
175.4 179.1
180.1 171.4
186.1 177.1
166.5 171.2
173.1 182.6
165.2 176.3
176.5 174.0
179.3 177.6
178.5 183.5
164.6 163.5
179.3 178.3
171.6 168.9
173.5 162.8
165.7 169.3
186.3 181.7
170.5 177.5
161.1 164.9
163.9 167.1
164.9 169.2
168.1 170.6
173.5 180.5
179.1 169.1
172.8 176.1
169.8 178.8
171.6 169.2
180.3 181.6
167.8 168.4
173.3 173.6
163.4 170.1
182.7 176.5
175.5 165.2
170.8 165.5
166.2 166.9
170.6 178.5
173.4 177.3
169.6 165.5
174.9 174.3
184.5 179.5
172.6 169.5
171.2 170.8
176.6 174.9
175.9 180.4
170.8 174.7
169.8 169.0
176.8 179.3
187.4 182.1
162.5 171.7
178.5 178.5
178.6 182.5
167.9 167.9
182.4 188.4
174.2 168.2
162.9 161.5
177.6 162.4
166.6 174.6
165.2 162.0
160.7 171.8
186.2 187.7
177.0 159.2
187.7 184.1
157.2 168.5
174.7 174.7
175.5 181.5
172.2 175.2
183.5 166.8
170.6 175.9
156.5 159.5
181.4 181.6
194.2 182.2
157.8 165.4
176.7 187.1
170.0 182.3
182.4 190.1
180.1 185.4
178.6 174.0
174.9 168.9
167.8 172.4
170.8 174.1
174.1 174.3
165.1 171.5
168.1 164.6
168.5 169.2
182.3 184.8
177.3 176.2
163.6 171.0
158.7 157.3
164.1 165.7
184.2 181.1
179.3 178.7
184.9 182.9
174.8 177.2
169.9 170.7
185.4 177.7
181.5 172.3
167.7 175.0
175.4 166.7
160.6 159.0
168.2 169.2
176.4 181.9
173.0 175.8
170.8 168.2
193.4 190.3
179.2 166.9
179.7 179.7
160.5 166.9
163.3 172.0
182.7 185.4
175.1 180.5
180.2 181.8
177.0 169.0
173.8 170.6
155.3 164.7
171.9 177.0
172.7 181.2
158.5 171.6
172.9 176.1
174.4 172.1
165.8 169.3
169.6 174.3
174.0 182.5
168.6 163.3
159.0 172.1
182.5 177.4
176.9 177.5
180.1 178.0
180.2 171.5
168.2 183.8
188.6 182.0
180.1 183.2
170.2 181.8
177.4 175.9
182.8 175.4
175.0 180.8
177.2 171.8
174.6 174.5
167.0 170.9
183.2 175.7
168.2 173.2
170.1 184.5
164.1 171.8
177.4 187.6
175.9 179.8
174.7 172.7
171.7 176.0
178.4 187.1
165.0 165.6
178.8 179.9
173.5 170.0
177.3 177.9
160.0 176.0
175.2 181.0
185.1 178.4
181.0 170.3
172.1 175.7
175.6 182.7
169.3 165.5
172.5 172.1
175.1 178.4
164.2 175.4
172.3 179.9
168.2 163.7
172.9 172.2
169.4 165.4
168.9 173.0
