"Newbie" "Age" "Gender" "Household.Income" "Sexual.Preference" "Education.Attainment" "Major.Occupation" "Marital.Status"
0 47 "Male" "$75-99" "Heterosexual" "Masters" "Education" "Married"
0 33 "Male" "$75-99" "Heterosexual" "College" "Computer" "Other"
0 27 "Male" "$50-74" "Heterosexual" "High School" "Computer" "Other"
0 22 "Male" "$20-29" "Heterosexual" "Some College" "Other" "Other"
0 57 "Male" "$40-49" "Heterosexual" "Doctoral" "Education" "Married"
0 49 "Female" "$75-99" "Heterosexual" "Doctoral" "Professional" "Other"
1 48 "Female" "$20-29" "Lesbian" "Some College" "Other" "Single"
0 21 "Male" "$30-39" "Heterosexual" "Some College" "Education" "Single"
0 36 "Male" "$75-99" "Heterosexual" "Professional" "Professional" "Married"
0 32 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 50 "Male" "$50-74" "Heterosexual" "Masters" "Computer" "Single"
0 66 "Male" "$20-29" "Heterosexual" "High School" "Other" "Married"
0 52 "Male" "$50-74" "Heterosexual" "Masters" "Professional" "Married"
0 28 "Male" "$10-19" "Heterosexual" "Some College" "Computer" "Single"
0 37 "Female" "Over $100" "Heterosexual" "Masters" "Professional" "Married"
1 46 "Male" "$50-74" "Heterosexual" "Some College" "Other" "Married"
0 25 "Male" "$20-29" "Heterosexual" "College" "Computer" "Married"
0 42 "Female" "$40-49" "Heterosexual" "Special" "Professional" "Single"
0 52 "Male" "$75-99" "Heterosexual" "Some College" "Management" "Married"
0 48 "Female" "Over $100" "Bisexual" "Some College" "Professional" "Married"
0 48 "Male" "Over $100" "Heterosexual" "Masters" "Professional" "Married"
1 23 "Female" "$30-39" "Heterosexual" "College" "Professional" "Single"
0 25 "Female" "$30-39" "Heterosexual" "College" "Computer" "Single"
0 33 "Male" "$75-99" "Heterosexual" "Masters" "Education" "Married"
0 36 "Female" "Over $100" "Heterosexual" "Masters" "Computer" "Married"
0 43 "Male" "$10-19" "Heterosexual" "Some College" "Other" "Separated"
0 60 "Male" "$50-74" "Heterosexual" "Professional" "Professional" "Married"
0 58 "Male" "$40-49" "Heterosexual" "Masters" "Professional" "Married"
0 35 "Male" "Over $100" "Heterosexual" "High School" "Computer" "Married"
1 50 "Male" "$20-29" "Heterosexual" "High School" "Professional" "Divorced"
1 51 "Male" "$75-99" "Heterosexual" "College" "Management" "Married"
0 29 "Male" "$50-74" "Heterosexual" "Some College" "Professional" "Married"
0 43 "Female" "$50-74" "Heterosexual" "Some College" "Computer" "Married"
0 27 "Female" "$20-29" "Heterosexual" "Masters" "Education" "Other"
0 36 "Male" "$50-74" "Heterosexual" "Doctoral" "Education" "Single"
0 29 "Male" "$30-39" "Heterosexual" "Special" "Computer" "Divorced"
0 40 "Female" "$40-49" "Heterosexual" "College" "Management" "Married"
0 22 "Female" "$30-39" "Bisexual" "College" "Professional" "Single"
0 33 "Male" "$10-19" "Heterosexual" "Masters" "Education" "Single"
0 29 "Male" "$75-99" "Heterosexual" "College" "Computer" "Married"
1 19 "Female" "$20-29" "Heterosexual" "Some College" "Education" "Other"
1 23 "Male" "$50-74" "Heterosexual" "College" "Professional" "Single"
0 20 "Male" "Under $10" "Heterosexual" "Some College" "Education" "Single"
1 29 "Female" "$20-29" "Heterosexual" "College" "Education" "Single"
1 27 "Female" "$30-39" "Heterosexual" "College" "Computer" "Married"
0 23 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Single"
0 21 "Male" "$20-29" "Heterosexual" "Some College" "Education" "Single"
1 33 "Male" "$30-39" "Heterosexual" "Special" "Professional" "Single"
1 35 "Male" "$75-99" "Heterosexual" "Doctoral" "Education" "Married"
0 23 "Male" "$20-29" "Heterosexual" "College" "Computer" "Single"
0 36 "Female" "$20-29" "Heterosexual" "Some College" "Other" "Married"
0 28 "Female" "$50-74" "Heterosexual" "College" "Computer" "Married"
1 39 "Male" "$40-49" "Heterosexual" "Some College" "Other" "Married"
0 22 "Male" "Under $10" "Heterosexual" "College" "Management" "Single"
0 30 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 56 "Male" "$50-74" "Heterosexual" "Masters" "Computer" "Widowed"
0 33 "Male" "$30-39" "Heterosexual" "High School" "Other" "Married"
0 48 "Male" "Over $100" "Heterosexual" "Doctoral" "Professional" "Married"
0 28 "Male" "$50-74" "Heterosexual" "College" "Computer" "Single"
1 45 "Female" "$20-29" "Heterosexual" "Some College" "Computer" "Divorced"
0 57 "Male" "$75-99" "Heterosexual" "Masters" "Management" "Married"
0 22 "Female" "$10-19" "Heterosexual" "College" "Education" "Single"
0 35 "Male" "$50-74" "Heterosexual" "College" "Education" "Married"
1 47 "Male" "$75-99" "Gay male" "Some College" "Other" "Other"
0 32 "Male" "Over $100" "Bisexual" "High School" "Computer" "Divorced"
1 16 "Female" "Under $10" "Heterosexual" "Grammar" "Education" "Single"
0 30 "Male" "$50-74" "Heterosexual" "Masters" "Computer" "Married"
0 48 "Male" "$50-74" "Heterosexual" "Masters" "Professional" "Single"
0 39 "Female" "$50-74" "Heterosexual" "College" "Management" "Married"
0 30 "Male" "$75-99" "Heterosexual" "Some College" "Computer" "Single"
1 29 "Female" "Under $10" "Lesbian" "Some College" "Education" "Single"
0 20 "Male" "$30-39" "Heterosexual" "Some College" "Computer" "Single"
1 33 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 65 "Male" "$75-99" "Heterosexual" "Professional" "Professional" "Married"
1 38 "Female" "$75-99" "Heterosexual" "Masters" "Education" "Married"
0 24 "Male" "$50-74" "Heterosexual" "College" "Professional" "Single"
0 50 "Male" "Over $100" "Heterosexual" "Masters" "Computer" "Married"
0 23 "Male" "$30-39" "Heterosexual" "College" "Computer" "Single"
0 43 "Male" "$75-99" "Heterosexual" "College" "Computer" "Married"
0 36 "Female" "$50-74" "Heterosexual" "Some College" "Professional" "Married"
1 37 "Male" "$30-39" "Heterosexual" "Masters" "Computer" "Married"
0 24 "Male" "Under $10" "Heterosexual" "High School" "Education" "Single"
1 24 "Male" "Under $10" "Heterosexual" "Some College" "Education" "Other"
0 30 "Male" "$20-29" "Heterosexual" "Masters" "Computer" "Single"
0 42 "Female" "Over $100" "Heterosexual" "College" "Management" "Married"
1 33 "Male" "$30-39" "Heterosexual" "High School" "Other" "Married"
0 59 "Male" "$50-74" "Heterosexual" "Masters" "Management" "Married"
1 27 "Female" "$30-39" "Heterosexual" "Some College" "Management" "Married"
0 40 "Male" "$40-49" "Heterosexual" "Doctoral" "Professional" "Married"
1 30 "Male" "Over $100" "Heterosexual" "Professional" "Professional" "Married"
0 67 "Male" "$50-74" "Heterosexual" "Doctoral" "Professional" "Married"
0 25 "Male" "$40-49" "Heterosexual" "Special" "Professional" "Other"
0 14 "Male" "Over $100" "Heterosexual" "High School" "Computer" "Single"
0 24 "Male" "Over $100" "Heterosexual" "College" "Other" "Single"
1 34 "Female" "$30-39" "Heterosexual" "Masters" "Professional" "Married"
0 28 "Female" "$40-49" "Heterosexual" "Special" "Management" "Divorced"
1 49 "Male" "$75-99" "Heterosexual" "Masters" "Management" "Married"
1 52 "Male" "$20-29" "Heterosexual" "Professional" "Other" "Married"
1 33 "Male" "$20-29" "Heterosexual" "Some College" "Education" "Divorced"
1 28 "Female" "$50-74" "Heterosexual" "College" "Professional" "Married"
0 48 "Male" "$20-29" "Heterosexual" "College" "Other" "Divorced"
0 55 "Female" "Over $100" "Heterosexual" "Other" "Other" "Married"
0 41 "Male" "$50-74" "Heterosexual" "Special" "Computer" "Other"
0 26 "Male" "$20-29" "Bisexual" "Some College" "Education" "Other"
0 27 "Male" "$10-19" "Heterosexual" "College" "Computer" "Separated"
0 27 "Male" "$30-39" "Heterosexual" "Masters" "Education" "Single"
0 42 "Female" "$75-99" "Heterosexual" "Some College" "Other" "Married"
0 40 "Male" "$30-39" "Heterosexual" "Some College" "Computer" "Married"
0 44 "Male" "$50-74" "Heterosexual" "Some College" "Management" "Other"
0 41 "Female" "$75-99" "Heterosexual" "College" "Education" "Married"
1 43 "Male" "$75-99" "Heterosexual" "Special" "Computer" "Married"
0 52 "Female" "$50-74" "Lesbian" "Doctoral" "Education" "Other"
0 30 "Male" "$30-39" "Heterosexual" "High School" "Computer" "Married"
0 29 "Male" "$20-29" "Heterosexual" "Masters" "Education" "Other"
0 32 "Male" "$30-39" "Heterosexual" "Some College" "Computer" "Divorced"
1 23 "Male" "Under $10" "Heterosexual" "Some College" "Education" "Single"
0 55 "Male" "$50-74" "Heterosexual" "Special" "Management" "Married"
0 29 "Male" "$40-49" "Heterosexual" "Masters" "Other" "Married"
0 70 "Male" "$75-99" "Heterosexual" "Masters" "Other" "Married"
1 21 "Male" "Under $10" "Heterosexual" "Some College" "Education" "Single"
0 36 "Male" "$40-49" "Heterosexual" "College" "Professional" "Married"
0 40 "Female" "$40-49" "Heterosexual" "Some College" "Computer" "Married"
0 50 "Female" "$30-39" "Heterosexual" "Masters" "Education" "Single"
0 46 "Male" "Under $10" "Heterosexual" "Doctoral" "Education" "Other"
1 20 "Female" "Under $10" "Heterosexual" "Some College" "Computer" "Single"
0 55 "Female" "$40-49" "Heterosexual" "College" "Computer" "Divorced"
1 50 "Male" "$50-74" "Heterosexual" "College" "Professional" "Married"
0 37 "Male" "$75-99" "Heterosexual" "Some College" "Management" "Married"
0 20 "Male" "Under $10" "Heterosexual" "High School" "Computer" "Single"
0 23 "Male" "$75-99" "Heterosexual" "College" "Computer" "Single"
0 43 "Male" "Over $100" "Heterosexual" "Some College" "Other" "Married"
0 36 "Male" "$50-74" "Heterosexual" "Some College" "Management" "Married"
0 27 "Male" "$40-49" "Heterosexual" "Other" "Professional" "Married"
0 21 "Male" "$20-29" "Heterosexual" "High School" "Computer" "Single"
0 28 "Male" "$75-99" "Bisexual" "College" "Computer" "Single"
0 35 "Female" "$30-39" "Heterosexual" "Some College" "Other" "Single"
0 24 "Male" "$10-19" "Heterosexual" "Some College" "Education" "Married"
0 24 "Male" "$40-49" "Heterosexual" "Some College" "Education" "Single"
0 58 "Male" "$30-39" "Heterosexual" "College" "Computer" "Single"
0 45 "Male" "$10-19" "Heterosexual" "Some College" "Education" "Married"
0 48 "Male" "$20-29" "Heterosexual" "College" "Computer" "Married"
0 33 "Male" "$10-19" "Heterosexual" "Masters" "Education" "Single"
0 30 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Single"
0 42 "Male" "Over $100" "Heterosexual" "College" "Computer" "Married"
0 25 "Male" "$40-49" "Bisexual" "College" "Computer" "Single"
0 58 "Male" "$50-74" "Heterosexual" "Masters" "Education" "Married"
0 32 "Male" "$75-99" "Heterosexual" "College" "Education" "Single"
0 16 "Male" "$75-99" "Bisexual" "Grammar" "Education" "Single"
0 27 "Male" "Over $100" "Heterosexual" "College" "Professional" "Married"
1 30 "Male" "$20-29" "Bisexual" "Special" "Education" "Separated"
0 20 "Male" "$10-19" "Heterosexual" "Some College" "Education" "Single"
0 19 "Male" "Under $10" "Bisexual" "Some College" "Education" "Single"
0 44 "Male" "$75-99" "Heterosexual" "Some College" "Computer" "Single"
