141105, systemic sample through townhouse (500+ listed, 10/page, 1 per page)

MLS askprice ffarea beds baths floor view age mfee region
v1046623 484800  928 2 2.5  5 0 0 327 brighouseS
v1084223 544900 1110 3 2.5  3 0 0 391 brighouse
v1092048 345900  646 1 1.5 31 0 0 180 west-cambie
v1035350 376000  752 2 2.5  3 0 0 253 bridgeport
v1061825 394900  879 2 2.5  3 0 0 255 ironwood
v1070355 575000  820 2 2.5  8 1 0 238 brighouse
v1079286 269800  526 1 1.5  2 0 0 154 ironwood
v1081806 549900  998 2 2.5  6 0 0 364 west-cambie
v1086127 357000  560 1 1.5  9 0 0 172 brighouse
v1088749 456900  871 2 2.5  7 0 0 342 brighouse
v1090364 449000  939 2 2.5  2 0 0 280 ironwood
v1091863 581900  995 1 2.5 50 1 0 316 brighouse
v1092081 389900  896 2 1.5  2 0 0 323 ironwood
v1044438 1990000 2173 3 4.5 12 1 1 1042 brighouse
v1059338 698000  770 1 1.5  2 0 1 379 brighouse
v1072708 448000  908 2 2.5  3 0 1 332 west-cambie
v1075487 1090000 1440 2 3.5 3 1 1 713 brighouse
v1078563 529000  981 2 2.5  2 0 1 311 brighouse
v1081397 295000  753 1 1.5  1 0 1 449 west-cambie
v1086123 518000  816 2 2.5  6 0 1 268 brighouse
v1088937 569000  930 2 2.5  8 1 1 311 brighouse
v1072460 468000  872 2 2.5 10 0 10 324 mclennanN
v1065411 459000 1000 2 2.5  6 0 11 308 brighouse
v1084172 318000  589 1 1.5  5 0 11 204 brighouse
v1092455 326800  774 2 1.5  3 0 11 217 brighouseS
v1025921 210000  495 1 1.5 17 1 16 263 brighouse
v1084438 509000 1047 2 2.5  8 0 16 260 brighouse
v1052028 535000 1285 3 2.5  4 0 17 343 brighouseS
v1084902 415000  981 2 2.5  2 0 17 285 riverdale
v1042819 428000  997 3 2.5  5 0 18 251 brighouse
v1082619 328000  950 2 2.5  1 0 18 339 riverdale
v1042040 318000  837 1 2.5  3 0 19 302 stevstonS
v1085845 469000 1242 2 2.5  2 1 19 462 riverdale
v1023107 778000 1142 3 2.5 17 1 2 418 brighouse
v1075614 445000  925 2 2.5  4 0 2 307 west-cambie
v1083790 349000  807 2 1.5  2 0 2 459 west-cambie
v1088602 338000  572 1 1.5  6 0 2 181 brighouse
v1092581 578000  970 2 2.5 16 1 2 311 brighouse
v1091554 259900  732 1 1.5  3 0 20 201 brighouse
v1083292 329900  937 2 2.5  4 0 21 299 brighouseS
v1091611 368800  980 2 2.5  2 0 21 398 brighouseS
v1088119 396000 1008 2 2.5  4 0 22 349 brighouseS
v1080168 249000  713 2 1.5  2 0 23 108 brighouseS
v1090747 249000  693 1 1.5  3 0 23 279 brighouseS
v1081255 339900 1116 2 2.5  3 0 24 319 brighouseS
v1090281 232800  755 1 1.5  2 0 24 191 brighouseS
v1076005 236000  750 1 1.5  2 0 25 231 brighouseS
v1087413 289000  843 2 2.5  2 0 25 189 brighouse
v1084069 468000 1452 2 2.5  3 0 26 499 brighouseS
v1067073 268888  968 2 1.5  3 0 28 337 brighouseS
v1069412 219900  721 1 1.5  1 0 30 239 brighouse
v1016216 263900  956 2 1.5  1 0 31 202 brighouseS
v1090579 299000  901 2 2.5  2 0 31 289 brighouseS
v1083336 308000 1109 2 1.5  3 0 32 257 brighouse
v1079626 244800  945 2 1.5  2 0 33 257 brighouse
v1090009 238000  864 2 1.5  3 0 33 389 brighouse
v1083577 205900  873 1 1.5  4 1 35 225 boyd-park
v1085612 349000 1036 2 2.5  3 0 38 386 south-arm
v1069167 236000 1101 2 2.5  1 0 40 336 broadmoor
v1091699 255000  812 1 1.5  4 0 40 307 brighouse
v1086142 278000  806 1 1.5  8 0 41 307 brighouse
v1088261 314888 1345 3 2.5  1 0 42 410 stevestonN
v1075783 458000  830 2 2.5  3 0 3 255 brighouse
v1088971 375000  853 2 2.5  2 0 3 256 west-cambie
v1062541 469800 1024 2 2.5  3 0 4 383 brighouse
v1078606 313000  607 1 1.5  1 0 4 114 brighouse
v1086872 438000  880 2 2.5  9 1 4 250 west-cambie
v1043726 365800  870 2 2.5  3 0 5 265 brighouse
v1072723 486800  911 2 2.5 11 0 5 295 brighouse
v1079096 418000  928 2 2.5  2 0 5 250 west-cambie
v1082420 508000 1168 2 3.5  3 1 5 331 stevestonS
v1086128 481000 1198 3 2.5  3 0 5 406 west-cambie
v1091328 659900 1184 2 2.5  5 0 5 387 brighouse
v1048428 318888  595 1 1.5 11 0 6 208 brighouse
v1065442 335000  595 1 1.5 16 0 6 208 brighouse
v1075525 439800  732 1 1.5  1 0 6 266 mclennanN
v1081205 436900  732 2 2.5  8 1 6 260 brighouse
v1083491 449888  732 2 2.5 17 1 6 260 brighouse
v1087160 323800  642 1 1.5 11 0 6 188 mclennanN
v1089921 468000  838 2 2.5 11 0 6 257 brighouse
v1003753 638000 1146 2 2.5 15 0 7 325 brighouse
v1059579 332000  662 1 1.5 11 1 7 192 brighouse
v1083440 386000  957 3 2.5 2 0 7 290 mclennanN
v1088929 459000  936 2 2.5 5 0 7 346 brighouse
v1064602 429900  838 2 2.5 3 1 8 270 brighouse
v1080450 399800  986 2 2.5 1 0 8 352 mclennanN
v1085486 299500  685 1 1.5 4 0 8 255 east-richmond
v1067225 508000 1242 3 2.5 21 0 9 302 brighouse
v1088007 529000 1192 3 2.5 3 0 9 292 brighouse 
