Data on 64 booked and actual times (minutes)
x = Actual time
Y = Booked time

--------------
Actual  Booked
--------------
   505   480
   131   150
    38    30
    41    30
    27    30
    66    60
    90   150
   160   210
   156   210
   133   180
   102   165
   102   150
   200   150
   134   150
   136   150
   149   120
   187   210
   190   195
   224   285
   128    90
   209   240
   141   150
   168   165
   164   165
   198   210
    54    60
    80    45
   228   330
   116    90
   194   180
   249   240
   161    75
   418   315
   117   165
   144   180
   555   270
   124    90
   112   150
   145   180
   208   210
   192   150
   184   180
   223   180
   108   120
    89    60
    47    60
   160   150
   124   150
   167   180
   118   120
    95   120
   170   210
   277   210
   164   180
   206   180
   239   240
   306   420
     0    60
   131    60
    63    60
   120   135
    47    45
   222   180
   205   210
