cftd=(cash flow)/(total debt)
nita=(net income)/(total assets)
cacl=(current assets)/(current liabilities)
cans=(current assets)/(net sales)
ibr=1 for bankrupt, =0 for not
cftd     nita     cacl    cans   ibr
-0.4485  -0.4106  1.0865  0.4526  1
-0.5633  -0.3114  1.5134  0.1642  1
-0.1002  -0.0917  1.5644  0.6683  1
-0.1421  -0.0651  0.7066  0.2794  1
 0.0351   0.0147  1.5046  0.7080  1
-0.0653  -0.0566  1.3737  0.4032  1
 0.0724  -0.0076  1.3723  0.3361  1
-0.1353  -0.1433  1.4196  0.4347  1
-0.2298  -0.2961  0.3310  0.1824  1
 0.0713   0.0205  1.3124  0.2497  1
 0.0109   0.0011  2.1495  0.6969  1
 0.1454   0.0500  1.8762  0.2723  1
 0.3703   0.1098  1.9941  0.3828  1
-0.0757  -0.0821  1.5077  0.4215  1
 0.0451   0.0263  1.6756  0.9494  1
 0.0115  -0.0032  1.2602  0.6038  1
 0.1227   0.1055  1.1434  0.1655  1
-0.2843  -0.2703  1.2722  0.5128  1
 0.5135   0.1001  2.4871  0.5368  0
 0.0769   0.0195  2.0069  0.5304  0
 0.3776   0.1075  3.2651  0.3548  0
 0.1933   0.0473  2.2506  0.3309  0
 0.3248   0.0718  4.2401  0.6279  0
 0.3132   0.0511  4.4500  0.6852  0
 0.1184   0.0499  2.5210  0.6925  0
-0.0173   0.0233  2.0538  0.3484  0
 0.2169   0.0779  2.3489  0.3970  0
 0.1703   0.0695  1.7973  0.5174  0
 0.1460   0.0518  2.1692  0.5500  0
-0.0985  -0.0123  2.5029  0.5778  0
 0.1398  -0.0312  0.4611  0.2643  0
 0.1379   0.0728  2.6123  0.5151  0
 0.1633   0.0486  2.3080  0.1978  0
 0.2907   0.0597  1.8381  0.3786  0
 0.5383   0.1064  2.3293  0.4835  0
-0.3330  -0.0854  3.0124  0.4730  0
 0.4785   0.0910  1.2444  0.1847  0
 0.5603   0.1112  4.2918  0.4443  0
 0.4746   0.1380  2.9166  0.4487  0
