IDOSU	GenderOSU	WeightOSU	Beers	BAC	Sobr1	Sobr2	IDAUST	GendAUS	WghtAUS	Height	Age	BAC1hr	Wine
1	F	132	5	0.1	10	6	1	F	70	167	20	0.025	4
2	F	128	2	0.03	9.5	9.25	2	F	66	161	21	0.04	4
3	F	110	9	0.19	9.75	4.75	3	M	67	169	27	0.07	6
4	M	192	8	0.12	10	7.5	4	M	91	187	20	0.065	6
5	M	172	3	0.04	10	9.75	5	F	58	158	25	0.015	3
6	F	250	7	0.095	9.5	6.5	6	M	80	177	29	0.02	3
7	F	125	3	0.07	9.5	7	7	F	63	162	26	0	1
8	M	175	5	0.06	9.75	8.75	8	M	75	170	48	0.015	3
9	F	175	3	0.02	9.5	6	9	M	124	184	22	0	3
10	M	275	5	0.05	9.75	8.5	10	M	90	171	50	0.02	3
11	F	130	4	0.07	9.5	8.5	11	M	80	179	39	0.03	4
12	M	168	6	0.1	9.5	7.75	12	M	91	183	32	0.065	5
13	F	128	5	0.085	9.75	8.25	13	F	52	159	22	0.04	2
14	M	246	7	0.09	10	7.75	14	M	91	187	22	0.035	6
15	M	164	1	0.01	9.5	9.5	15	M	107	185	24	0.045	7
16	M	175	4	0.05	10	9	16	M	75	180	45	0.08	4
