141104, systemic sample through condos (10/page, top on page)

MLS askprice ffarea beds baths floor view age mfee region
v1058376 328000  513 1 1.5 16 1 0 185 metrotown
v1081324 433800  769 2 2.5 19 1 0 229 brentwood-park
v1089494 339900  620 1 1.5  3 0 0 212 vancouver-heights
v1082114 309900  493 1 1.5  8 1 0 163 metrotown
v1085636 670000  946 2 2.5 31 1 0 315 metrotown
v1087010 449000  553 1 1.5 56 1 0 186 metrotown
v1087480 384000  493 1 1.5 53 1 0 163 metrotown
v1088664 695800  905 2 2.5 55 1 0 301 metrotown
v1089897 415900  761 2 2.5  3 0 0 247 east-burnaby
v1090952 389000  596 1 1.5  8 0 0 171 metrotown
v1091989 520000  905 2 2.5  6 0 0 226 central-park
v1081647 658000  842 2 2.5 25 1 1 227 metrotown
v1090822 588000  812 2 2.5 22 0 1 221 metrotown
v1089913 439000  867 2 2.5 14 1 10 250 south-slope
v1085974 485000 1178 2 2.5 18 1 12 392 south-slope
v1076508 579000 1149 3 2.5  4 0 14 339 forglen
v1091263 379800  912 2 2.5  4 1 14 318 south-slope
v1082973 329000  769 1 1.5 25 1 15 221 metrotown
v1082432 289800  793 1 1.5  3 1 16 250 willingdon-heights
v1080763 363000  846 2 2.5 16 1 17 332 highgate
v1083254 565000 1241 2 2.5 28 1 18 404 south-slope
v1090790 398000  965 2 2.5  4 0 18 320 central-park
v1084819 438000 1190 3 2.5 22 1 19 307 cariboo
v1073627 468000  982 2 2.5 13 0 2 388 sfu
v1083302 398000  757 2 1.5  4 0 2 235 brentwood-park
v1089336 509900  896 2 2.5 19 1 2 278 brentwood-park
v1085999 329900  964 2 2.5  6 0 20 251 cariboo
v1080123 299900  695 1 1.5 13 0 21 168 forglen
v1092054 325000  947 2 2.5  1 0 21 324 metrotown
v1084607 335000  950 2 2.5  1 0 22 306 central-burnaby
v1026524 429000 1211 2 2.5  8 1 23 339 metrotown
v1090475 420800 1173 2 2.5 24 1 23 410 south-slope
v1075803 314900  792 1 1.5  5 1 25 234 forglen
v1080809 428800 1069 2 2.5 15 0 25 313 forglen
v1080100 269900  814 1 1.5 21 0 28 235 government-road
v1087811 214800  668 1 1.5  2 0 29 254 sfu
v1078677 369000  792 2 2.5  1 0 3 229 south-slope
v1089282 299000  645 1 1.5  4 1 3 158 metrotown
v1077924 278000  694 1 1.5  3 0 30 188 vancouver-heights
v1068927 352900  925 2 1.5 17 1 31 201 metrotown
v1086161 364900 1010 2 1.5 18 1 31 225 metrotown
v1083808 219800  737 1 1.5 16 0 32 236 sullivan-heights
v1092037 205000  737 1 1.5  8 0 32 212 sullivan-heights
v1089190 298000  960 2 2.5  1 0 33 336 sullivan-heights
v1090511 315000  878 2 1.5  2 0 35 284 metrotown
v1074470 238000  660 1 1.5  9 0 37 198 metrotown
v1066203 243000  881 2 1.5  2 0 38 286 central-park
v1092137 245000  928 2 2.5 10 0 38 394 sullivan-heights
v1082256 288000  611 1 1.5  1 0 4 189 metrotown
v1088419 333000  607 1 1.5  1 0 4 233 forglen
v1090037 309000  790 1 1.5  3 0 4 196 highgate
v1073056 271500  611 1 1.5  2 0 5 204 metrotown
v1080203 480000 1104 2 2.5  5 1 5 348 sfu
v1084392 388000  808 2 2.5  4 0 5 227 brentwood-park
v1087218 369000  808 2 2.5  3 0 5 273 metrotown
v1090525 399000  832 2 2.5  9 1 5 233 highgate
v1061956 279000  637 1 1.5  1 0 6 164 metrotown
v1075709 342000  724 1 1.5  1 0 6 186 metrotown
v1081740 320000  708 1 1.5  1 0 6 218 brentwood-park
v1084602 368000  632 1 1.5  9 1 6 180 forglen
v1089394 485000  969 2 2.5  4 1 6 311 brentwood-park
v1091885 438900  840 2 2.5 19 1 6 259 brentwood-park
v1086248 389800 1031 2 2.5  3 0 7 360 government-road
v1089207 342000  635 1 1.5 15 1 7 220 brentwood-park
v1061785 359900  840 2 2.5  7 0 8 298 sfu
v1087502 459800 1072 2 2.5  8 0 8 280 highgate
v1091461 439000  880 2 2.5  9 0 8 296 brentwood-park
v1075643 629000 1058 2 2.5 30 1 9 322 metrotown
v1089526 429000  908 2 2.5  2 0 9 322 highgate
 
