Case x1   x2    y  
   1 3.84 6.52  0  
   2 3.36 14.06 0  
   3 1.83 2.59  0  
   4 4.16 9.37  0  
   5 2.52 6.3   0  
   6 5.25 8.38  0  
   7 2.94 4.13  0  
   8 4.44 4.91  0  
   9 3.01 2.68  0  
  10 2.48 11.36 0  
  11 2.28 7.06  0  
  12 2.6  6.68  0  
  13 1.61 2.35  0  
  14 2.92 7.51  0  
  15 3.8  3.91  0  
  16 3.76 11.02 0  
  17 3.67 7.09  0  
  18 2.12 1.01  0  
  19 1.72 4.94  0  
  20 3.53 5.54  0  
  21 5.12 9.01  1  
  22 5.06 7.64  1  
  23 7.22 11.77 1  
  24 7.02 14.14 1  
  25 6.68 7.78  1  
  26 4.84 11    1  
  27 5.54 9.68  1  
  28 6.01 12.85 1  
  29 5.62 9.84  1  
  30 6.96 10.5  1  
