288 271 389 281 289 242 253 327  269 366 290 270 295 320 327  307 290 263 317 337 311  293 266 250 227 289 286  394 423 296 327 406 373 410 
183 140 233 169 194 183 182 209  228 199 189 202 210 230 187  181 185 165 168 224 163  178 182 191 184 174 186  151 147 176 140 144 158 171 
99 130 98 89 111 122 92 138  107 97 112 121 119 112 114  100 103 105 116 123 115  126 106 106 123 101 105  132 121 114 124 116 123 137 
142 108 138 119 131 111 159 101  146 149 155 148 156 123 130  156 124 122 122 124 119  129 143 137 120 107 121  116 106 91 103 109 122 93 
111 71 152 98 111 113 123 120  102 116 108 111 94 130 103  124 99 102 96 126 115  104 96 127 84 126 105  120 108 137 86 112 95 103 
71 52 81 51 68 59 56 74  62 65 61 68 58 62 59  68 55 65 88 84 78  66 46 59 55 59 69  67 46 43 49 45 50 70 
31 54 17 25 29 31 26 37  23 25 22 33 31 24 40  19 21 33 40 46 30  26 30 33 35 36 34  40 25 31 40 20 38 20 
25 20 20 21 16 19 20 13  17 42 16 17 24 15 43  24 25 36 19 40 49  27 20 18 30 26 42  27 33 35 26 27 26 41 
18 24 13 17 23 22 29 18  11 15 19 27 21 15 14  24 15 14 17 22 13  24 27 29 20 24 22  24 15 21 28 21 20 25 
35 48 25 33 53 47 32 31  44 34 46 43 39 49 40  36 50 43 50 25 38  43 52 44 47 55 40  38 44 54 50 52 45 53 
40 42 52 34 34 52 39 36  40 45 52 51 48 35 47  46 41 37 50 41 43  31 51 45 44 35 36  48 29 40 35 43 35 42 
26 29 23 30 33 27 26 39  29 25 29 19 23 29 27  34 43 32 26 31 31  30 33 30 18 34 28  27 29 30 32 23 31 32 
31 35 46 34 24 23 34 34  48 34 24 45 28 32 36  39 30 40 33 18 24  32 30 25 44 32 37  38 38 25 22 34 29 24 
33 25 22 36 27 35 24 31  29 29 28 30 19 20 39  39 27 32 35 38 35  32 41 40 39 28 38  41 34 29 37 32 37 36 
27 28 11 20 27 34 22 26  27 29 43 28 18 22 22  30 25 26 32 29 29  24 22 29 23 29 29  20 17 33 26 19 28 27 
10 17 21 18 20 15 23 15  15 13 14 23 28 18 18  21 18 17 16 19 14  18 8 15 26 25 19  16 11 15 24 12 13 24 
28 24 18 15 26 29 12 19  13 25 17 16 27 29 13  24 25 34 23 24 19  21 27 19 25 19 20  28 17 22 16 21 17 20 
23 34 34 40 37 24 31 35  45 60 33 39 64 47 40  32 34 34 21 27 27  37 36 32 28 37 33  30 30 30 35 39 42 33 
18 17 21 24 22 17 18 13  13 27 18 29 27 33 22  24 15 17 19 21 14  24 21 23 23 18 20  12 22 25 13 23 33 18 
16 10 9 11 9 15 10 5  11 10 18 14 11 8 16  10 30 8 10 9 10  13 16 24 9 8 15  12 22 13 12 23 13 6 
18 16 13 22 8 12 13 13  24 24 15 16 27 27 36  16 17 19 18 16 18  13 27 22 22 19 24  11 26 10 25 21 18 18 
17 15 6 10 11 12 13 16  15 4 11 13 8 15 6  9 11 11 9 10 4  8 12 5 14 5 14  10 7 22 8 5 9 12 
10 12 10 10 13 16 18 18  17 12 19 12 19 13 15  10 18 20 15 20 22  17 27 23 24 23 29  13 17 11 19 19 15 8 
17 23 4 13 17 26 8 13  12 11 15 18 17 11 10  17 23 18 15 19 25  9 15 15 10 16 17  5 13 10 18 9 15 6 
8 8 6 8 7 7 8 4  7 4 3 9 6 7 3  4 6 11 7 5 5  8 7 9 8 10 6  9 5 7 5 7 5 7 
10 19 7 13 15 12 14 6  4 8 13 15 12 10 8  14 10 15 14 12 14  10 10 14 14 9 12  12 13 11 9 11 16 15 
12 7 9 9 10 1 11 7  13 7 5 6 11 9 7  12 9 15 7 13 7  7 3 5 5 10 12  9 2 5 10 4 3 6 
12 10 22 17 10 10 16 18  16 11 16 10 15 10 9  8 10 9 8 19 8  22 11 9 7 10 16  11 14 28 19 11 12 5 
15 5 16 17 12 6 10 11  7 11 9 7 7 14 11  7 8 13 6 18 16  11 9 6 10 11 9  13 11 13 10 8 7 14 
6 7 4 4 12 6 13 13  10 7 3 15 11 8 11  13 14 11 7 11 9  16 8 8 12 4 14  11 11 5 7 4 5 8 
15 17 8 21 14 15 22 22  15 12 15 8 12 13 15  21 8 10 11 15 9  10 13 11 10 16 23  11 27 9 11 9 25 11 
7 7 3 7 12 12 10 14  4 5 12 4 11 9 9  11 13 12 9 11 7  6 6 10 9 7 8  3 9 7 5 8 11 6 
7 7 10 11 11 7 11 10  8 18 7 21 12 24 18  10 15 9 12 13 6  11 16 14 10 20 19  4 18 10 17 10 7 9 
12 10 7 22 13 8 10 10  10 20 11 4 16 11 14  12 8 14 10 5 6  17 13 14 7 11 12  9 12 14 11 16 10 16 
6 10 11 9 6 10 7 10  4 20 22 19 7 8 6  5 9 19 10 8 9  12 9 13 10 12 11  14 11 13 12 10 14 10 
13 14 11 33 12 12 23 19  25 9 12 18 16 13 11  20 12 15 7 13 18  15 26 9 21 8 9  13 8 15 9 10 12 9 
9 4 1 0 2 3 2 3  5 4 2 2 3 3 4  4 0 1 2 4 3  1 0 1 1 1 3  2 3 2 6 1 1 2 
5 3 3 2 0 3 8 4  2 5 2 3 3 3 5  8 3 2 2 2 3  4 6 6 1 0 4  3 5 7 4 3 4 2 
11 19 10 7 8 4 9 5  10 5 9 6 5 8 4  6 6 9 7 10 9  7 10 9 3 9 13  12 15 7 6 13 7 9 
3 3 3 4 6 2 0 3  2 3 9 6 4 1 1  3 8 4 2 4 5  8 8 5 5 5 4  3 2 4 7 6 2 3 
8 11 6 5 6 11 8 9  7 14 8 9 11 13 17  10 8 18 8 13 10  13 10 5 14 5 2  13 12 9 13 10 9 11 
8 4 0 4 3 3 2 0  2 1 4 5 1 4 2  7 6 4 3 5 3  7 2 4 5 4 5  6 1 6 9 5 8 3 
11 4 4 15 3 6 5 4  5 4 5 1 4 3 3  2 8 10 4 9 16  5 7 3 5 2 10  7 4 4 3 3 3 8 
2 16 3 6 8 6 1 8  3 8 2 3 4 8 5  6 13 5 5 2 9  6 6 4 4 4 7  5 14 6 12 12 8 9 
2 7 0 0 1 1 2 2  3 1 1 3 3 5 2  2 1 2 2 2 1  1 0 4 1 0 3  0 0 3 0 0 0 2 
13 14 5 13 7 13 10 4  8 4 3 9 7 9 8  2 7 10 8 4 6  11 7 5 6 5 4  9 7 7 7 4 6 7 
5 9 9 6 9 8 7 9  7 8 9 10 6 6 8  7 6 8 3 4 4  10 7 4 5 8 4  6 22 4 13 15 7 11 
12 11 5 9 3 7 8 3  4 5 4 6 5 8 2  11 6 9 7 5 5  8 9 6 5 9 5  6 6 11 4 2 7 5 
7 7 3 2 13 4 3 3  2 2 3 3 2 4 6  2 5 5 3 4 3  3 1 6 7 3 4  2 0 1 2 3 5 1 
4 7 2 13 1 6 10 8  4 4 7 6 5 5 7  3 5 5 4 9 2  5 3 2 10 6 5  7 3 7 6 2 3 5 
