year     UN      m     p       G      x
1895 13.703   4.43 0.153  17.449  6.000
1896 14.445   4.35 0.150  17.656  7.100
1897 14.543   4.64 0.150  18.097  7.600
1898 12.354   5.26 0.154  19.412  8.400
1899  6.536   6.09 0.159  19.423  8.500
1900  5.004   6.60 0.165  19.412  9.300
1901  4.133   7.48 0.165  19.682  9.500
1902  3.668   8.17 0.159  20.045  8.700
1903  3.922   8.68 0.171  20.982  9.200
1904  5.378   9.24 0.173  20.967  9.100
1905  4.276  10.24 0.177  21.797  9.900
1906  1.728  11.08 0.181  22.016 10.500
1907  2.764  11.60 0.188  23.342 10.800
1908  7.962  11.44 0.187  24.990 10.100
1909  5.106  12.68 0.185  23.775 10.200
1910  5.857  13.34 0.191  24.297 10.500
1911  6.719  14.12 0.187  26.845 11.800
1912  4.637  15.13 0.196  26.853 12.700
1913  4.321  15.37 0.195  26.438 13.100
1914  7.919  16.39 0.197  27.819 11.400
1915  8.528  17.59 0.207  28.434 17.000
1916  5.100  20.85 0.233  27.390 22.700
1917  4.617  24.37 0.287  35.708 21.700
1918  1.372  26.73 0.314  71.005 20.400
1919  1.375  31.01 0.370  45.701 25.400
1920  5.157  34.80 0.429  30.438 21.100
1921 11.715  32.85 0.350  34.031 14.200
1922  6.728  33.72 0.324  33.416 13.800
1923  2.415  36.60 0.337  33.360 14.700
1924  4.951  38.58 0.332  35.408 15.900
1925  3.217  42.05 0.339  37.082 16.700
1926  1.756  43.68 0.334  37.116 17.000
1927  3.275  44.73 0.325  39.083 17.600
1928  4.208  46.42 0.329  40.242 18.400
1929  3.246  46.60 0.328  41.000 21.372
1930  8.903  45.73 0.316  44.800 17.004
1931 15.653  42.69 0.289  46.300 12.465
1932 22.981  36.05 0.257  44.300  9.738
1933 20.901  32.22 0.251  42.900  9.553
1934 16.197  34.36 0.273  48.400 10.985
1935 14.389  39.07 0.279  49.600 11.834
1936  9.970  43.48 0.280  57.900 12.506
1937  9.182  45.68 0.293  55.800 16.039
1938 12.468  45.81 0.286  60.700 15.359
1939 11.273  49.27 0.284  63.000 16.184
1940  9.508  55.20 0.291  65.300 18.581
1941  5.994  62.81 0.312  97.800 19.536
1942  3.095  71.16 0.343 191.600 14.565
1943  1.773  89.91 0.361 271.300 12.730
1944  1.226 106.82 0.370 300.400 14.862
1945  1.931 126.63 0.379 265.400 19.524
1946  3.946 138.73 0.439  93.100 34.425
1947  3.894 146.00 0.496  75.700 40.755
1948  3.756 148.11 0.530  84.700 33.031
1949  5.934 147.46 0.525  96.800 31.060
1950  5.286 150.81 0.536  98.100 26.880
1951  3.314 156.45 0.571 133.700 34.505
1952  3.032 164.92 0.579 159.800 32.975
1953  2.910 171.19 0.588 170.100 30.602
1954  5.551 177.16 0.595 156.000 31.410
1955  4.386 183.69 0.608 152.300 34.519
1956  4.132 186.87 0.628 153.500 39.815
